unified_field,value_strategy,dedupe_method,rationale,example
domain,CANONICAL,EXACT,Identifier - one canonical value,example.com
url,APPEND_ALL,EXACT,Multiple URLs per domain are valid,"[example.com/, example.com/about, www.example.com]"
company_name,APPEND_ALL,NONE,"Keep all variations - helps semantic search","[Acme Inc, Acme Incorporated, ACME INC., Acme]"
company_name_canonical,PREFER_PRIORITY,N/A,Single canonical from highest priority source,Acme Incorporated
legal_name,APPEND_ALL,NONE,Legal names vary by jurisdiction/time,"[Acme Ltd, Acme Limited, ACME LIMITED]"
company_number,APPEND_ALL,EXACT,Same company may have multiple reg numbers,"[12345678, SC123456]"
person_name,APPEND_ALL,NONE,"Keep all name variants - helps semantic search","[John Smith, J. Smith, SMITH John, János Kovács]"
person_name_canonical,PREFER_PRIORITY,N/A,Single canonical from highest priority source,John Smith
email,APPEND_ALL,CASE_INSENSITIVE,All emails associated with entity,"[john@acme.com, j.smith@acme.co.uk, JOHN@ACME.COM]"
phone,APPEND_ALL,E164_NORMALIZE,All phones normalized to E.164,"[+441onal234567890, +44207...]"
address,APPEND_ALL,NONE,"Keep all address variants - helps geo search","[123 Main St, 123 Main Street, 123 Main St., London]"
categories,APPEND_ALL,NONE,"CRITICAL: Keep ALL category labels from ALL sources - semantic search gold","[finance, banking, financial services, /Business/Financial_Services, banks]"
ranks,APPEND_ALL,NONE,Different ranking systems provide different signals,"[{source: alexa, rank: 1000}, {source: majestic, rank: 500}]"
sources,APPEND_ALL,EXACT,Track ALL data sources for provenance,"[atlas, domains_unified, wdc-organization-entities]"
industry,APPEND_ALL,NONE,"Keep all industry labels - semantic variations matter","[Financial Services, Banking, Finance, Fintech]"
job_title,APPEND_ALL,NONE,"Keep all title variants - helps role search","[CEO, Chief Executive Officer, Managing Director, Founder & CEO]"
description,APPEND_ALL,NONE,Different descriptions from different sources add context,"[Company provides..., Leading provider of..., Acme is a...]"
founding_date,APPEND_ALL,NONE,Different sources may have different dates,"[2010, 2010-01-15, January 2010]"
employee_count,APPEND_ALL,NONE,Different sources report different counts,"[{source: linkedin, count: 500}, {source: companies_house, count: 450}]"
revenue,APPEND_ALL,NONE,Different sources/years,"[{year: 2023, amount: 10M}, {year: 2022, amount: 8M}]"
jurisdiction,APPEND_ALL,NORMALIZE_CODE,Company may operate in multiple jurisdictions,"[UK, GB, United Kingdom]"
nationality,APPEND_ALL,NORMALIZE_CODE,Person may have multiple nationalities,"[British, UK, United Kingdom, GB]"
linked_people,APPEND_ALL,NONE,All person associations from all sources,"[John Smith (CEO), Jane Doe (CFO), J. Smith]"
worksFor,APPEND_ALL,NONE,Person may work for multiple companies or have history,"[Acme Inc, Acme Ltd, Previous Corp]"
telephone,APPEND_ALL,E164_NORMALIZE,All phone numbers,"[+44..., +1...]"
street_address,APPEND_ALL,NONE,All address variants,"[123 Main St, 123 Main Street]"
city,APPEND_ALL,NONE,Different spellings/languages,"[London, LONDON, Londres]"
country,APPEND_ALL,NORMALIZE_CODE,Normalize but keep variants for search,"[UK, United Kingdom, GB, Great Britain]"
postal_code,APPEND_ALL,NORMALIZE,Normalize format but keep all,"[SW1A 1AA, SW1A1AA]"
linkedin_url,APPEND_ALL,NORMALIZE_URL,Multiple LinkedIn profiles possible,"[linkedin.com/company/acme, linkedin.com/company/acme-inc]"
website_url,APPEND_ALL,NORMALIZE_URL,Company may have multiple domains,"[acme.com, acme.co.uk, www.acme.com]"
entity_types,APPEND_ALL,NONE,Schema.org types from different sources,"[Organization, Corporation, LocalBusiness]"
tags,APPEND_ALL,NONE,All tags from all sources,"[sanctions, pep, high-risk, politically-exposed]"
risk_indicators,APPEND_ALL,NONE,All risk flags from all sources,"[OFAC, EU_SANCTIONS, PEP_TIER1]"
